i,R,G,B
0,64,64,0
1,64,128,0
2,64,192,0
3,64,255,0
4,128,64,0
5,128,128,0
6,128,192,0
7,128,255,0
8,192,64,0
9,192,128,0
10,192,192,0
11,192,255,0
12,255,64,0
13,255,128,0
14,255,192,0
15,255,255,0
16,0,64,64
17,0,128,64
18,0,192,64
19,0,255,64
20,64,0,64
21,64,128,64
22,64,192,64
23,64,255,64
24,128,0,64
25,128,64,64
26,128,128,64
27,128,192,64
28,128,255,64
29,192,0,64
30,192,64,64
31,192,128,64
32,192,192,64
33,192,255,64
34,255,0,64
35,255,64,64
36,255,128,64
37,255,192,64
38,255,255,64
39,0,64,128
40,0,128,128
41,0,192,128
42,0,255,128
43,64,0,128
44,64,64,128
45,64,128,128
46,64,192,128
47,64,255,128
48,128,0,128
49,128,64,128
50,128,192,128
51,128,255,128
52,192,0,128
53,192,64,128
54,192,128,128
55,192,192,128
56,192,255,128
57,255,0,128
58,255,64,128
59,255,128,128
60,255,192,128
61,255,255,128
62,0,64,192
63,0,128,192
64,0,192,192
65,0,255,192
66,64,0,192
67,64,64,192
68,64,128,192
69,64,192,192
70,64,255,192
71,128,0,192
72,128,64,192
73,128,128,192
74,128,192,192
75,128,255,192
76,192,0,192
77,192,64,192
78,192,128,192
79,192,255,192
80,255,0,192
81,255,64,192
82,255,128,192
83,255,192,192
84,255,255,192
85,0,64,255
86,0,128,255
87,0,192,255
88,0,255,255
89,64,0,255
90,64,64,255
91,64,128,255
92,64,192,255
93,64,255,255
94,128,0,255
95,128,64,255
96,128,128,255
97,128,192,255
98,128,255,255
99,192,0,255
100,192,64,255
101,192,128,255
102,192,192,255
103,192,255,255
104,255,0,255
105,255,64,255
106,255,128,255
107,255,192,255
108,64,0,0
109,128,0,0
110,192,0,0
111,255,0,0
112,0,64,0
113,0,128,0
114,0,192,0
115,0,255,0
116,0,0,64
117,0,0,128
118,0,0,192
119,0,0,255
120,0,0,0
121,37,37,37
122,73,73,73
123,110,110,110
124,146,146,146
125,183,183,183
126,219,219,219
127,255,255,255
